t	Mo99	Tc99
0	10000	0
1	9891	87
2	9788	166
3	9695	235
4	9579	311
5	9484	364
6	9386	404
7	9305	425
8	9201	485
9	9093	528
10	8995	554
11	8901	576
12	8808	598
13	8703	616
14	8612	623
15	8533	611
16	8452	616
17	8375	618
18	8282	623
19	8208	607
20	8119	613
21	8041	617
22	7950	623
23	7856	631
24	7774	631
25	7697	626
26	7611	624
27	7539	617
28	7469	606
29	7388	607
30	7307	628
31	7230	612
32	7143	637
33	7090	612
34	7016	612
35	6953	591
36	6879	595
37	6788	615
38	6709	614
39	6653	584
40	6578	597
41	6507	607
42	6443	590
43	6360	600
44	6294	585
45	6221	591
46	6159	582
47	6089	568
48	6025	553
49	5962	556
50	5888	562
Initial Mo99 population: 10000
Simulation length: 50 hours
Total Tc99 harvested: 0
