t	F18
4	2189064
4.01	2180688
4.02	2172506
4.03	2164382
4.04	2156325
4.05	2148141
4.06	2139942
4.07	2131673
4.08	2123605
4.09	2115583
4.1	2107529
4.11	2099598
4.12	2091750
4.13	2083930
4.14	2076095
4.15	2068213
4.16	2060327
4.17	2052500
4.18	2044926
4.19	2037126
4.2	2029379
4.21	2021638
4.22	2013876
4.23	2006361
4.24	1998863
4.25	1991200
4.26	1983709
4.27	1976200
4.28	1968633
4.29	1961380
4.3	1953892
4.31	1946580
4.32	1939184
4.33	1931816
4.34	1924544
4.35	1917232
4.36	1909873
4.37	1902631
4.38	1895560
4.39	1888452
4.4	1881390
4.41	1874399
4.42	1867330
4.43	1860308
4.44	1853244
4.45	1846187
4.46	1839311
4.47	1832312
4.48	1825428
4.49	1818626
4.5	1811727
4.51	1804933
4.52	1798115
4.53	1791331
4.54	1784584
4.55	1777876
4.56	1771210
4.57	1764628
4.58	1757921
4.59	1751192
4.6	1744641
4.61	1738181
4.62	1731627
4.63	1725035
4.64	1718444
4.65	1711894
4.66	1705304
4.67	1698790
4.68	1692428
4.69	1686015
4.7	1679442
4.71	1673134
4.72	1666728
4.73	1660360
4.74	1654205
4.75	1647985
4.76	1641778
4.77	1635560
4.78	1629529
4.79	1623326
4.8	1617060
4.81	1610902
4.82	1604842
4.83	1598772
4.84	1592688
4.85	1586532
4.86	1580600
4.87	1574549
4.88	1568564
4.89	1562561
4.9	1556632
4.91	1550797
4.92	1544890
4.93	1539095
4.94	1533393
4.95	1527602
4.96	1521813
4.97	1515945
4.98	1510102
4.99	1504387
5	1498569
5.01	1492957
5.02	1487268
5.03	1481574
5.04	1475891
5.05	1470302
5.06	1464743
5.07	1459293
5.08	1453797
5.09	1448235
5.1	1442718
5.11	1437188
5.12	1431745
5.13	1426381
5.14	1421048
5.15	1415697
5.16	1410312
5.17	1404976
5.18	1399581
5.19	1394231
5.2	1388911
5.21	1383584
5.22	1378264
5.23	1373060
5.24	1367807
5.25	1362513
5.26	1357381
5.27	1352333
5.28	1347133
5.29	1342029
5.3	1336970
5.31	1331922
5.32	1326816
5.33	1321874
5.34	1316851
5.35	1311859
5.36	1307003
5.37	1302130
5.38	1297261
5.39	1292331
5.4	1287253
5.41	1282416
