t	F18
19.14	6891
19.15	6859
19.16	6827
19.17	6800
19.18	6778
19.19	6761
19.2	6743
19.21	6719
19.22	6699
19.23	6671
19.24	6639
19.25	6623
19.26	6600
19.27	6577
19.28	6551
19.29	6530
19.3	6514
19.31	6493
19.32	6465
19.33	6439
19.34	6421
19.35	6405
19.36	6382
19.37	6360
19.38	6337
19.39	6313
19.4	6293
19.41	6260
19.42	6236
19.43	6210
19.44	6185
19.45	6160
19.46	6138
19.47	6112
19.48	6097
19.49	6081
19.5	6065
19.51	6039
19.52	6011
19.53	5992
19.54	5966
19.55	5937
19.56	5911
19.57	5881
19.58	5854
19.59	5829
19.6	5809
19.61	5788
19.62	5765
19.63	5740
19.64	5726
19.65	5700
19.66	5685
19.67	5668
19.68	5649
19.69	5627
19.7	5596
19.71	5573
19.72	5547
19.73	5524
19.74	5502
19.75	5485
19.76	5464
19.77	5439
19.78	5420
19.79	5401
19.8	5375
19.81	5358
19.82	5342
19.83	5318
19.84	5305
19.85	5294
19.86	5274
19.87	5256
19.88	5232
19.89	5217
19.9	5197
19.91	5178
19.92	5158
19.93	5135
19.94	5118
19.95	5101
19.96	5074
19.97	5060
19.98	5041
19.99	5018
20	4996
